# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak9738	STT3B (+135634), OSBPL10 (+312878)
peak9739	CTTNBP2NL (-334096), KCND3 (-72930)
peak9740	BRAF (+22288), NDUFB2 (+205805)
peak9741	DMP1 (-32441), DSPP (+9337)
peak9742	RMDN3 (+12084), RAD51 (+48593)
peak9743	RAB11FIP1 (-2526)
peak9744	RICTOR (-129055), FYB1 (+67203)
peak9745	COMP (+5999), CRTC1 (+101637)
peak9746	HELZ (-13933), PSMD12 (+107511)
peak9747	LRRC37A3 (-55721), GNA13 (+82333)
peak9748	ORMDL3 (+177)
peak9749	CLEC17A (+6615), ADGRE3 (+85133)
peak9750	APOA1 (-204723), SIK3 (+55748)
peak9751	GALM (-50461), HNRNPLL (-12483)
peak9752	FBXW11 (+21559), SMIM23 (+199215)
peak9753	FAM124B (-159249), CUL3 (+24065)
peak9754	ALKAL2 (-368510), TMEM18 (+20633)
peak9755	DYNLRB2 (-862252), MAF (-77768)
peak9756	KIAA0319L (+102644), ZMYM4 (+185802)
peak9757	EDEM3 (-32012), FAM129A (+187625)
peak9758	UTRN (+380842)
peak9759	GTDC1 (+1819)
peak9760	TNKS2 (-1107)
peak9761	PRDX3 (+623)
peak9762	NDFIP1 (-90129), GNPDA1 (-5582)
peak9763	PAICS (-1166), PPAT (+643)
peak9764	SRSF5 (-67994), SUSD6 (+47310)
peak9765	NXPH4 (-49611), LRP1 (+38685)
peak9766	MYOM3 (-26996), IL22RA1 (+3950)
peak9767	RYR2 (+186389), ZP4 (+662328)
peak9768	EFR3A (+9140), OC90 (+146152)
peak9769	SMARCA2 (-415741), DMRT2 (+555850)
peak9770	KIT (+180033), KDR (+287638)
peak9771	GRM2 (+22121), IQCF6 (+49996)
peak9772	GPR88 (-88397), CDC14A (+97249)
peak9773	TICAM2 (-21909), TMED7-TICAM2 (+1773)
peak9774	FBXW11 (+17203), SMIM23 (+203571)
peak9775	SEMA4D (+8042), SECISBP2 (+92285)
peak9776	FAM212B (+27989), RAP1A (+91652)
peak9777	SYNJ2 (+33228), SERAC1 (+153155)
peak9778	MBOAT4 (+6582), LEPROTL1 (+42624)
peak9779	ATP2B1 (-376525), CCER1 (+869820)
peak9780	ETS1 (+415768)
peak9781	SLAMF9 (-4605)
peak9782	MKLN1 (-357461), KLF14 (-236338)
peak9783	SPTSSB (+57658), NMD3 (+93914)
peak9784	SYTL2 (-232058), PICALM (+25742)
peak9785	ARID1B (+132590), TMEM242 (+413637)
peak9786	ARAP3 (-1021)
peak9787	DHRS13 (-43017), PHF12 (+5683)
peak9788	ANKRD11 (+38027), ZNF778 (+234831)
peak9789	FREM1 (-385309), SNAPC3 (-126400)
peak9790	TRAF5 (-3486)
peak9791	CD72 (-19372), SIT1 (+12026)
peak9792	CABYR (-171451), LAMA3 (+278201)
peak9793	SPRTN (+38319), EGLN1 (+48677)
peak9794	MAB21L2 (-298114), DCLK2 (+204780)
peak9795	CDC14A (-43535), RTCA (+42707)
peak9796	DTL (-4938), INTS7 (+4903)
peak9797	ALG10 (+104086)
peak9798	XYLT1 (+326929), NPIPA7 (+764897)
peak9799	OTULIN (-104172), TRIO (+416874)
peak9800	C1orf105 (+6759), PIGC (+16639)
peak9801	AXL (-18508), CYP2S1 (+7646)
peak9802	SCNN1B (+63)
peak9803	GATA3 (+283723)
peak9804	HORMAD2 (+79194), LIF (+87483)
peak9805	ABCC4 (-178937), CLDN10 (-72359)
peak9806	LEMD1 (-58789), CDK18 (-23755)
peak9807	NR2F2 (-460495)
peak9808	ACYP2 (+16534), TSPYL6 (+268635)
peak9809	ENDOD1 (-629)
peak9810	TJP2 (-29869), FXN (+140034)
peak9811	NAMPT (-60801), CCDC71L (+315003)
peak9812	CEMIP (+6192), MESD (+204315)
peak9813	TBC1D22A (+26044)
peak9814	IL17RC (-1468)
peak9815	PDE2A (-62088), ARAP1 (+15862)
peak9816	ARHGAP10 (+200049), NR3C2 (+510408)
peak9817	PITRM1 (-519936), KLF6 (+92498)
peak9818	GATA3 (+731486)
peak9819	PAG1 (-160935), FABP5 (-7360)
peak9820	EIF3J (-100659), CTDSPL2 (+9164)
peak9821	PRL (+154292), SOX4 (+550441)
peak9822	SSPN (+260889), ITPR2 (+376813)
peak9823	TLDC1 (-89656), COTL1 (+23663)
peak9824	DNTTIP2 (-26775), GCLM (+3429)
peak9825	SAMSN1 (-103221), NRIP1 (+378377)
peak9826	LAPTM5 (-40477), SDC3 (+110464)
peak9827	SLC9A4 (-36008), IL18RAP (+18606)
peak9828	LMX1B (-141359), MVB12B (+146235)
peak9829	GATAD2A (+20173), TSSK6 (+67985)
peak9830	KCNK7 (+6031), EHBP1L1 (+13927)
peak9831	HRH1 (-123273), SLC6A1 (+136702)
peak9832	PRB2 (-182982), ETV6 (-71307)
peak9833	TTC39A (-122739), EPS15 (+74379)
peak9834	SEC11C (-100805), ZNF532 (+176072)
peak9835	NEDD4L (-180473), ATP8B1 (-132098)
peak9836	SH3RF3 (+89163), SEPT10 (+395632)
peak9837	AHR (-287760), AGR3 (-128875)
peak9838	PLD6 (+80806), MPRIP (+82749)
peak9839	KLHL29 (+147292), ATAD2B (+394605)
peak9840	APOA1 (-143672), SIK3 (+116799)
peak9841	KIF25 (-89425), AFDN (+82032)
peak9842	DYNLRB1 (-150419), ITCH (+2678)
peak9843	CAB39 (-269023), SP100 (+27556)
peak9844	IL1RAP (+104456), GMNC (+244057)
peak9845	IL21R (-24314), IL4R (+63935)
peak9846	ZBP1 (-18)
peak9847	TYRP1 (+82720), MPDZ (+503435)
peak9848	ITPKA (-27017), RTF1 (+49754)
peak9849	MYO1B (-71973), STAT4 (-22156)
peak9850	TRIB1 (+267813), FAM84B (+860259)
peak9851	FAM131A (+3283), CLCN2 (+20916)
peak9852	LIF (+58907), HORMAD2 (+107770)
peak9853	ARRDC3 (+369995), ADGRV1 (+454567)
peak9854	RAPGEF6 (+152226), CDC42SE2 (+218785)
peak9855	RNF4 (+66562), TNIP2 (+209961)
peak9856	RNF4 (+31984), TNIP2 (+244539)
peak9857	NUP153 (-203534), KIF13A (+77201)
peak9858	IL27 (-27860), NUPR1 (+4314)
peak9859	CELF2 (+214473), USP6NL (+299872)
peak9860	PROK2 (-193267), RYBP (+468293)
peak9861	AHSA2 (+16338), USP34 (+276902)
peak9862	SYNE2 (+48901), ESR2 (+392476)
peak9863	SP5 (-352796), MYO3B (+184410)
peak9864	FABP5 (+6514), PMP2 (+160646)
peak9865	COL4A3BP (-56291), ANKDD1B (-43030)
peak9866	CHST2 (+45690), SLC9A9 (+683510)
peak9867	CEBPD (+125409), SPIDR (+353102)
peak9868	NSMCE1 (-1786)
peak9869	AKAP13 (+20603), KLHL25 (+393698)
peak9870	SVOPL (+73264), TRIM24 (+145481)
peak9871	GALNT13 (-395810), RPRM (-69880)
peak9872	TBX15 (+211)
peak9873	IL18R1 (-19925), IL1RL1 (+24502)
peak9874	DAD1 (+362757), OR4E2 (+572677)
peak9875	CRACR2A (+102042), PRMT8 (+159824)
peak9876	PLCG2 (+29921), SDR42E1 (+202309)
peak9877	ZCCHC2 (-176307), TNFRSF11A (+21385)
peak9878	ODC1 (+3814), HPCAL1 (+75926)
peak9879	TLL1 (-303890), CPE (+190426)
peak9880	NLRC3 (-914)
peak9881	FABP5 (+9007), PMP2 (+158153)
peak9882	GNA14 (-278156), GNAQ (+104995)
peak9883	MAPK13 (-15054), MAPK14 (+87556)
peak9884	ACSM6 (+42041), PDLIM1 (+54783)
peak9885	GPRC5B (-48)
peak9886	PRR5 (-102)
peak9887	MTSS1 (+77879), NDUFB9 (+111291)
peak9888	RPL26L1 (-121015), ERGIC1 (+3603)
peak9889	PLSCR4 (-213161), PLSCR2 (+4961)
peak9890	AHI1 (+73059), MYB (+243371)
peak9891	MYBL1 (-21277), VCPIP1 (+32691)
peak9892	SYT9 (+414)
peak9893	SRF (-85086), PTK7 (+9399)
peak9894	TMCC3 (-292383), NDUFA12 (+60825)
peak9895	SLC35C2 (-35084), ELMO2 (+7075)
peak9896	SLC2A1 (+21831), ZNF691 (+90769)
peak9897	PFKFB3 (+134184), PRKCQ (+299801)
peak9898	GFOD2 (-70791), RANBP10 (+16440)
peak9899	SPATA46 (-30897), SH2D1B (+4359)
peak9900	NFIL3 (-374410), ROR2 (+151890)
peak9901	CAPN2 (+36206), TP53BP2 (+97434)
peak9902	MFHAS1 (+87992), CLDN23 (+103715)
peak9903	MICALCL (-135792), MICAL2 (+40517)
peak9904	C11orf87 (-548720), DDX10 (+208375)
peak9905	TMEM248 (-51355), RABGEF1 (+113988)
peak9906	CCR4 (+47682), TMPPE (+97545)
peak9907	MAP3K9 (-1684)
peak9908	MFSD1 (+10773)
peak9909	RASSF3 (+74259), GNS (+74675)
peak9910	KITLG (-683776), DUSP6 (+89034)
peak9911	IL10 (+35333), MAPKAPK2 (+52124)
peak9912	ITGA4 (-328907), UBE2E3 (+147712)
peak9913	DMRT2 (-13)
peak9914	HLX (+157986), DUSP10 (+704790)
peak9915	MFSD14A (+38830), SASS6 (+56028)
peak9916	RBM47 (+42681), CHRNA9 (+136748)
peak9917	VGLL4 (-140636), TAMM41 (+62212)
peak9918	KLRG1 (+38449), A2M (+88167)
peak9919	STXBP5 (-413332), ADGB (+192236)
peak9920	TKTL1 (+15630), FLNA (+63325)
peak9921	ZNF385C (-844)
peak9922	TBL1XR1 (-222464)
peak9923	LPIN2 (+29074), EMILIN2 (+135843)
peak9924	OLFM3 (+290838), S1PR1 (+319247)
peak9925	TBL1XR1 (-781428), KCNMB2 (-580794)
peak9926	GUCD1 (-28146), GGT1 (-19120)
peak9927	HSPB1 (-29464), MDH2 (+225013)
peak9928	IRF1 (-5662), IL5 (+47062)
peak9929	MCHR2 (-123646), SIM1 (+347060)
peak9930	FNDC1 (-109984), TAGAP (-14261)
peak9931	TRIB1 (-131668), NSMCE2 (+206800)
peak9932	LTC4S (-31745), MAML1 (+29391)
peak9933	ETV7 (+3907), PNPLA1 (+113416)
peak9934	RRM1 (-2632)
peak9935	VRK1 (+912472)
peak9936	CSRNP1 (-185)
peak9937	LEXM (-1262)
peak9938	STOX2 (+122141), ENPP6 (+190464)
peak9939	APH1B (-60613), RAB8B (+27472)
peak9940	TGIF1 (-132016), MYL12B (+57244)
peak9941	ST8SIA4 (-10332)
peak9942	PISD (-63352), DEPDC5 (-62450)
peak9943	B4GALT5 (-53450), SLC9A8 (-45385)
peak9944	NFIL3 (-374734), ROR2 (+151566)
peak9945	COL4A3BP (-55773), ANKDD1B (-43548)
peak9946	FILIP1 (-57126), SENP6 (-51183)
peak9947	COPS4 (+33278), PLAC8 (+46212)
peak9948	PTGS2 (-119509), PLA2G4A (-29017)
peak9949	CCDC68 (-286946), TCF4 (+389573)
peak9950	RIMS2 (-1649)
peak9951	RGMA (+880)
peak9952	SPATS2L (+6760), KCTD18 (+194353)
peak9953	CHRNA9 (-37902), RHOH (+100520)
peak9954	BMP8A (-307081), MACF1 (+100398)
peak9955	ITPR2 (+82469), SSPN (+555233)
peak9956	DNAH10 (-33764), ATP6V0A2 (+16413)
peak9957	MEX3C (+34537), SMAD4 (+132570)
peak9958	CTTNBP2 (+141723), CFTR (+251821)
peak9959	GM2A (+24001), SLC36A3 (+26603)
peak9960	ABTB2 (+123535), NAT10 (+128871)
peak9961	CLTA (-3392)
peak9962	ZCCHC2 (-181832), TNFRSF11A (+15860)
peak9963	HDGFL3 (+8908), TM6SF1 (+91703)
peak9964	OR6S1 (-30425), RNASE4 (-11984)
peak9965	SNX10 (+74152), SKAP2 (+498696)
peak9966	AKAP13 (-61826), PDE8A (+338463)
peak9967	ZSWIM4 (-6088), C19orf53 (+15204)
peak9968	CDC42BPG (-20102), EHD1 (+15042)
peak9969	CCDC8 (-116393), CALM3 (-71259)
peak9970	APPL2 (-849471), NUAK1 (+54479)
peak9971	MDFIC (+84244)
peak9972	SLC30A5 (-818322), PIK3R1 (+59604)
peak9973	CCR4 (+9440), TMPPE (+135787)
peak9974	HEY1 (-247679), MRPS28 (+14735)
peak9975	BCL2L14 (-298609), ETV6 (+122476)
peak9976	SRSF5 (-53535), SUSD6 (+61769)
peak9977	RAPGEF2 (-444167), FNIP2 (+54432)
peak9978	GNAZ (-116216), IGLL5 (+66365)
peak9979	MED11 (-9739), ARRB2 (+11002)
peak9980	ZNF184 (-84552), HIST1H2BL (+250261)
peak9981	COX4I2 (-20255), ID1 (+12350)
peak9982	EPB41L5 (+92518), TMEM185B (+117885)
peak9983	SCYL3 (-175131), KIFAP3 (+5605)
peak9984	PDE7B (-332159), AHI1 (-21792)
peak9985	SELENOT (+19107), SIAH2 (+140982)
peak9986	SLC24A2 (+16179), ACER2 (+361690)
peak9987	RPS27L (+16613), LACTB (+19389)
peak9988	AASDH (-34286), PPAT (+13829)
peak9989	ENDOU (-30241), RAPGEF3 (+2868)
peak9990	PLA2G4A (-90118), PTGS2 (-58408)
peak9991	CCDC68 (-281612), TCF4 (+394907)
peak9992	LIN9 (-64413), PARP1 (+33927)
peak9993	LYST (-87900), NID1 (+110342)
peak9994	TRNAU1AP (-33808), RCC1 (+1020)
peak9995	JAK2 (-5055), RCL1 (+187321)
peak9996	PREX1 (-81220), ARFGEF2 (-12787)
peak9997	THBS1 (-892001), RASGRP1 (-124286)
peak9998	GPD1L (-110087), ZNF860 (+14650)
peak9999	SFRP1 (-157612), GOLGA7 (-23545)
peak10000	SENP2 (+49396), IGF2BP2 (+189442)
peak10001	CARD18 (-460586), GRIA4 (-9761)
peak10002	PTGER3 (+279382), CTH (+357134)
peak10003	FABP5 (-145551), PAG1 (-22744)
peak10004	ZNF704 (-43385), PAG1 (+193902)
peak10005	PTPN1 (-124251), CEBPB (+195369)
peak10006	RFPL2 (+74408), SLC5A1 (+86037)
peak10007	RFTN1 (+32125), OXNAD1 (+216382)
peak10008	CCNY (-204630), CREM (+4784)
peak10009	HMCES (+4104), H1FX (+33333)
peak10010	GLS (-184995), NAB1 (+46599)
peak10011	FBXL3 (-195887), MYCBP2 (+103642)
peak10012	BARHL2 (+358239), ZNF326 (+363883)
peak10013	RNF113B (-338648), STK24 (+6085)
peak10014	HTD2 (+897), RPP14 (+907)
peak10015	VNN3 (-11458), VNN2 (+11785)
peak10016	SRSF5 (-77892), SUSD6 (+37412)
peak10017	SNRPD1 (+44420), ABHD3 (+48118)
peak10018	GPHN (-743868), FUT8 (+352947)
peak10019	CCDC182 (+52556), MSI2 (+436222)
peak10020	TRPC3 (-166211), KIAA1109 (-34368)
peak10021	SP5 (-190045), MYO3B (+347161)
peak10022	NEBL (+344960), PLXDC2 (+736403)
peak10023	TBX2 (-705028), BCAS3 (+15410)
peak10024	KAT6B (+15850), DUPD1 (+216039)
peak10025	GRK3 (-69905), CRYBB2 (+275422)
peak10026	KAT6B (-197137), ADK (+478259)
peak10027	TANC2 (+187663), CYB561 (+242992)
peak10028	IFNA1 (+4013), IFNE (+37846)
peak10029	TNFAIP3 (+90495), PERP (+149828)
peak10030	GATB (-628573), FBXW7 (+146505)
peak10031	RNF103 (-74071), RMND5A (-22247)
peak10032	RAPGEF2 (-34896), FNIP2 (+463703)
peak10033	SEMA6A (-107536)
peak10034	SNTG1 (+828775)
peak10035	TNFAIP8 (-158401), DMXL1 (+103385)
peak10036	UBQLN2 (-249040), KLF8 (+81552)
peak10037	MID1IP1 (-131770), TSPAN7 (+108292)
peak10038	TTC17 (-16346), API5 (+30606)
peak10039	PLCB4 (-705089), PLCB1 (+470446)
peak10040	LRGUK (-584906), EXOC4 (+289320)
peak10041	NOTCH2 (-38356), SEC22B (+68533)
peak10042	GBP7 (-13719), GBP4 (+9173)
peak10043	FAM9B (-245272), TBL1X (-185609)
peak10044	BTG1 (-186917), CLLU1 (-91145)
peak10045	PDE3A (-807465), AEBP2 (+122106)
peak10046	IL15 (+21929)
peak10047	KLF12 (-560681), TBC1D4 (+926384)
peak10048	ZNF322 (-405785), HIST1H2BJ (+67213)
peak10049	LINC00116 (-125477), LIMS4 (+102178)
peak10050	MAGOHB (+10749), ENSG00000180574 (+96984)
peak10051	RPRML (-159805), CDC27 (+50123)
peak10052	EPB41L5 (-69742), PTPN4 (+183632)
peak10053	EPB41L5 (+31597), TMEM185B (+178806)
peak10054	ZNF485 (+17097), ZNF32 (+25200)
peak10055	GIMD1 (-309373), DKK2 (+359489)
peak10056	LIN28B (+77670), BVES (+102456)
peak10057	GNG4 (-198504), LYST (+18423)
peak10058	TGIF1 (-48464), MYL12B (+140796)
peak10059	OSMR (+100291), RICTOR (+128109)
peak10060	DLX6 (-533714), SLC25A13 (-149687)
peak10061	MYC (+439778)
peak10062	ZFAND5 (-93937), TMC1 (-63272)
peak10063	CLASP1 (-30496), NIFK (+56951)
peak10064	RAPGEF5 (-78418), STEAP1B (+65166)
peak10065	TMEM97 (-157903), NLK (+119036)
peak10066	MAB21L2 (-246165), DCLK2 (+256729)
peak10067	C1QL3 (-200459), RSU1 (+94919)
peak10068	IL20RA (-76688), IL22RA2 (+51996)
peak10069	DDX17 (-57194), DMC1 (+6755)
peak10070	EGR2 (-252088), NRBF2 (-64847)
peak10071	RHOT1 (-45690), LRRC37B (+75634)
peak10072	ACVR2A (-415375)
peak10073	ANK3 (-319173), CDK1 (-69551)
peak10074	BMP3 (-550466), FGF5 (+213900)
peak10075	CCL2 (-617498), ASIC2 (-344799)
peak10076	NFIL3 (-156566), ROR2 (+369734)
peak10077	IRS2 (+132021)
peak10078	ELOVL5 (-82782), GCLC (+113168)
peak10079	DEFB115 (-871394)
peak10080	NTRK3 (+686337)
peak10081	PRLHR (-84753), CACUL1 (+74794)
peak10082	ZNF254 (-94748), ZNF726 (+77555)
peak10083	RUNX2 (-97807), CDC5L (+843037)
peak10084	ZNF254 (-140441), ZNF726 (+31862)
peak10085	UQCRFS1 (+41832)
peak10086	TNFRSF21 (-145031), CD2AP (-22853)
peak10087	WNT5A (-517719), ERC2 (+463002)
peak10088	NEO1 (+31538), HCN4 (+286016)
peak10089	KLF7 (-194384), CREB1 (-169563)
peak10090	PHF3 (+78452)
peak10091	PRIM2 (+31067)
peak10092	PRIM2 (+78119)
peak10093	DOCK10 (-335428), NYAP2 (-21840)
peak10094	GOLGA6B (-159531), ARIH1 (+20881)
peak10095	CENPO (-140422), NCOA1 (+160791)
peak10096	DCUN1D1 (-38296), MCCC1 (+80648)
peak10097	WDR11 (-159372), PLPP4 (+234849)
peak10098	TMEM164 (-155028), ACSL4 (-114675)
peak10099	ERC2 (-125266), FAM208A (+89388)
peak10100	ADPGK (+19413), BBS4 (+78185)
peak10101	ARRDC3 (-96182)
peak10102	GPR151 (-249067), PPP2R2B (+290770)
peak10103	POLQ (+38699), STXBP5L (+599235)
peak10104	OPHN1 (+149169), AR (+740600)
peak10105	MYH15 (+16249), HHLA2 (+210588)
peak10106	NEDD9 (-293262), TMEM170B (-12334)
peak10107	GCNT3 (-227042), MYO1E (-11842)
peak10108	KCNT2 (+50596)
peak10109	GIMAP4 (+13186), GIMAP6 (+52185)
peak10110	F13B (-26391), ASPM (+53036)
peak10111	GK (+28536), TAB3 (+293189)
peak10112	FAM19A1 (-318532), SUCLG2 (-31074)
peak10113	ARL1 (-48096), SPIC (-19505)
peak10114	KDM6A (+134218), CXorf36 (+193172)
peak10115	ZNF706 (-268398), GRHL2 (-18747)
peak10116	FGF9 (+152757)
peak10117	FOXP2 (-388262), PPP1R3A (-107670)
peak10118	RUNX2 (-498411), CDC5L (+442433)
peak10119	NFIA (-63613)
peak10120	OR6C4 (-23106), OR6C68 (+34118)
peak10121	KIZ (-345443), RALGAPA2 (-68123)
peak10122	PPP2R5C (-125495), DIO3 (+74952)
peak10123	NME7 (+15509), ATP1B1 (+246761)
peak10124	ECI2 (-472446), CDYL (-168392)
peak10125	STOX2 (+141981), ENPP6 (+170624)
peak10126	AGPS (-120196), NFE2L2 (-7317)
peak10127	MUSK (+152537), LPAR1 (+216735)
peak10128	SMLR1 (-68353), TMEM200A (+321936)
peak10129	TXN (-77718), TXNDC8 (+3450)
peak10130	MUTYH (-33400), TESK2 (+117378)
peak10131	UROD (+39156), ZSWIM5 (+155253)
peak10132	KL (-308688), PDS5B (+121318)
peak10133	CSPG5 (-145752), SMARCC1 (+55373)
peak10134	CSPG5 (-97790), SMARCC1 (+103335)
peak10135	HSFY2 (-818470), KDM5D (+152718)
peak10136	SFPQ (+47141), ZMYM1 (+86221)
peak10137	RAB38 (+43253)
peak10138	SIAH3 (-154982), ZC3H13 (+46028)
peak10139	ADGRA3 (-776168), PPARGC1A (+597855)
peak10140	PSMG1 (-34147), BRWD1 (+95821)
peak10141	RGS6 (-357476), SIPA1L1 (+45638)
peak10142	WDPCP (+226326), OTX1 (+311671)
peak10143	TYW1 (+54434)
peak10144	PLEKHA3 (+70083), TTN (+256872)
peak10145	CCDC141 (-46026), SESTD1 (+168705)
peak10146	TEKT2 (-60378), AGO3 (+92619)
peak10147	SAMD3 (+95005), L3MBTL3 (+107183)
peak10148	PDZD2 (+131806), GOLPH3 (+403134)
peak10149	RUNX1 (-883269), SETD4 (+127648)
peak10150	CABYR (-161264), LAMA3 (+288388)
peak10151	MCHR2 (-277630), SIM1 (+193076)
peak10152	FANCL (+139656), VRK2 (+194043)
peak10153	ST3GAL1 (-706550), ZFAT (+434563)
peak10154	PLCXD3 (-208085), OXCT1 (+151833)
peak10155	C1GALT1C1L (-86050), DYNC2LI1 (-11710)
peak10156	PTGER4 (-63813)
peak10157	TYW5 (-270424), SPATS2L (-82790)
peak10158	TRIP11 (-34465), ATXN3 (+32086)
peak10159	SYTL2 (-15480), PICALM (+242320)
peak10160	NKX2-3 (-78)
peak10161	CST7 (+5918), APMAP (+37831)
peak10162	MGAT1 (-17231), ZFP62 (+28505)
peak10163	RNF11 (-67840), C1orf185 (+66197)
peak10164	ARF6 (+47934), VCPKMT (+175531)
peak10165	PCBP1 (-111701), ASPRV1 (-13488)
peak10166	MYC (+646041)
peak10167	ITGA4 (-260642), UBE2E3 (+215977)
peak10168	CADPS2 (-1074)
peak10169	CTSO (-518888), PDGFC (+498589)
peak10170	HOPX (-42399), SPINK2 (+97637)
peak10171	CCND2 (-338481), PARP11 (-61917)
peak10172	EMP1 (+341017), GRIN2B (+442630)
peak10173	PQLC3 (+49049), ROCK2 (+140164)
peak10174	GATA3 (+295931)
peak10175	ODC1 (-224619), NOL10 (+16844)
peak10176	PRC1 (+7245), RCCD1 (+32380)
peak10177	C10orf105 (-8103), VSIR (+45574)
peak10178	MYC (+773343)
peak10179	ADHFE1 (+56047), MYBL1 (+124716)
peak10180	ABCB4 (-115092), ABCB1 (+10242)
peak10181	APCDD1 (+340)
peak10182	PPIAL4E (-33770), NBPF15 (+49380)
peak10183	TMEM247 (-58004), EPAS1 (+124159)
peak10184	GRAMD2B (-316268)
peak10185	SERINC5 (+74795), THBS4 (+145936)
peak10186	IL18R1 (-19308), IL1RL1 (+25119)
peak10187	GOLGA5 (-23574), LGMN (-21978)
peak10188	FIGNL1 (+56486), IKZF1 (+88456)
peak10189	LFNG (+10877), BRAT1 (+25008)
peak10190	TRIM55 (-62786), DNAJC5B (+42550)
peak10191	ADA (+41035), PKIG (+78798)
peak10192	TET3 (-7230), DGUOK (+52348)
peak10193	ADSL (-102431), TNRC6B (+66144)
peak10194	TRIM25 (-2035)
peak10195	ID2 (-368077)
peak10196	ANPEP (-10612), AP3S2 (+68868)
peak10197	ZNF704 (-232335), PAG1 (+4952)
peak10198	RIC1 (+14229), ERMP1 (+189769)
peak10199	EXTL3 (-141478), FZD3 (+65644)
peak10200	HACD4 (+106221), FOCAD (+267106)
peak10201	CHST14 (+40820), CCDC32 (+53162)
peak10202	TATDN2 (-22547), IRAK2 (+60611)
peak10203	SUN5 (+27416), EFCAB8 (+118094)
peak10204	HDC (+4890), SLC27A2 (+78940)
peak10205	ERBB4 (-524930), IKZF2 (+87832)
peak10206	NABP1 (+69854), CAVIN2 (+98869)
peak10207	TMEM68 (-71984), LYN (-34475)
peak10208	AKR1D1 (-52231), CREB3L2 (-22189)
peak10209	NFIL3 (-117007), ROR2 (+409293)
peak10210	LPP (-342234), BCL6 (-124972)
peak10211	MAP4K1 (+38419), RYR1 (+145675)
peak10212	FABP5 (-123239), PAG1 (-45056)
peak10213	SLC25A51 (-49826), SHB (+115275)
peak10214	ZDHHC6 (+4667), ACSL5 (+66049)
peak10215	ARID5B (+145447), RTKN2 (+221960)
peak10216	CAVIN3 (+116)
peak10217	TMCC3 (-27389), NDUFA12 (+325819)
peak10218	MYC (+341850)
peak10219	TUBA4A (-984)
peak10220	SKAP1 (-83184), HOXB1 (+17623)
peak10221	JAK2 (-46110), RCL1 (+146266)
peak10222	MAN1A1 (-113734)
peak10223	LYZL2 (-108420), ZNF438 (+293755)
peak10224	FOXN4 (+58804), ACACB (+133821)
peak10225	FCHO2 (-117926), TNPO1 (+21743)
peak10226	SPRED2 (+87388), ACTR2 (+116952)
peak10227	RPP40 (+81217), CDYL (+146395)
peak10228	UPK3A (-111975), NUP50 (+9166)
peak10229	OR13F1 (-360198), SMC2 (+49805)
peak10230	HOXB3 (-1972)
peak10231	ANXA11 (-48066), MAT1A (+36046)
peak10232	CLECL1 (+24193), CLEC2D (+39393)
peak10233	MATN3 (-35899), LAPTM4A (+3435)
peak10234	ADO (-167504), ZNF365 (+263161)
peak10235	MTMR1 (-111681), MTM1 (+13110)
peak10236	HDC (-46869), GABPB1 (+42258)
peak10237	ETS1 (+244521)
peak10238	CREB1 (+7641), METTL21A (+87018)
peak10239	MAPK8 (+93961), ARHGAP22 (+204352)
peak10240	GIMAP6 (-33410), GIMAP2 (-19642)
peak10241	ASCL2 (-221)
peak10242	SLA2 (+1786), C20orf24 (+38608)
peak10243	NT5E (+14258), SNX14 (+129546)
peak10244	WDR41 (+94769), PDE8B (+186946)
peak10245	SLC47A1 (-70441), RNF112 (+52219)
peak10246	PRDM1 (-575580), PREP (-107656)
peak10247	SMIM19 (-37891), VDAC3 (+111361)
peak10248	RNF181 (-7963), VAMP5 (+3363)
peak10249	CCDC68 (-288958), TCF4 (+387561)
peak10250	PGS1 (+34662), DNAH17 (+164092)
peak10251	SLC22A16 (-170742), CDK19 (+167933)
peak10252	TTC39A (-174744), EPS15 (+22374)
peak10253	C5orf38 (-322), IRX2 (-164)
peak10254	CRTC3 (-40408), IQGAP1 (+101442)
peak10255	ZNF184 (-132017), HIST1H2BL (+202796)
peak10256	CRK (-35513), MYO1C (+1041)
peak10257	RBM12 (+631)
peak10258	PPP1R1B (-4451)
peak10259	UBE2K (-42048), SMIM14 (-16906)
peak10260	GMPR (+154188), ATXN1 (+368688)
peak10261	MAPK8 (+3297), ARHGAP22 (+295016)
peak10262	DHRS9 (-25713), ABCB11 (-10000)
peak10263	FRYL (-35466), OCIAD1 (-15319)
peak10264	CCDC182 (+145004), MSI2 (+343774)
peak10265	TSSK6 (+40877), GATAD2A (+47281)
peak10266	GPR32 (-41931), CLEC11A (+5204)
peak10267	LGALSL (-239531), PELI1 (-70107)
peak10268	ITGB1 (-195508), NRP1 (+182860)
peak10269	ALDH8A1 (-32250), HBS1L (+72526)
peak10270	AHR (-252140), AGR3 (-164495)
peak10271	IFIT1B (-45830), IFIT3 (+4332)
peak10272	GRB7 (+46636), IKZF3 (+78781)
peak10273	ID2 (-200825)
peak10274	CSMD3 (-60981)
peak10275	B3GAT2 (+51823), SMAP1 (+237439)
peak10276	LMO2 (-152784), CAPRIN1 (-6610)
peak10277	RIC1 (+15622), ERMP1 (+188376)
peak10278	POU2F1 (+33788), CD247 (+263921)
