# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak0	Hint3 (-37397)
peak15691	3110018I06Rik (-594799)
peak15692	Sox5 (+350830)
peak15693	Ptn (-215922)
peak15694	Nras (-18131)
peak15695	Hmcn1 (-155027)
peak15696	Fhad1 (+62782)
peak15697	Mdm2 (+33073)
peak15698	Arhgef3 (+5804)
peak15699	Plod2 (+18943)
peak15700	Sp100 (+48308)
peak15701	Lrfn1 (+6334)
peak15702	Ghsr (-22248)
peak15703	Ceacam16 (+10668)
peak15704	Fxyd5 (+317)
peak15705	Atg5 (+32298)
peak15706	Eef2k (+19125)
peak15707	Ppp3ca (+271014)
peak15708	Mbtps1 (+9837)
peak15709	Muc13 (-48391)
peak15710	Id3 (-20257)
peak15711	Sgsm3 (+1471)
peak15712	St3gal6 (+21522)
peak15713	Srebf1 (+793)
peak15714	Irf2bp1 (-633)
peak15715	Lactb (-14819)
peak15716	Prss2 (+31816)
peak15717	Cxadr (-78984)
peak15718	Snrk (+41553)
peak15719	Pkib (+34694)
peak15720	Rbbp8 (-161655)
peak15721	Nedd9 (-34161)
peak15722	Arhgap18 (+123531)
peak15723	Raph1 (-52938)
peak15724	Serp2 (-224714)
peak15725	Kcnma1 (+106174)
peak15726	Lmo4 (+530252)
peak15727	Lmo4 (+590147)
peak15728	Ptprj (-31735)
peak15729	Col15a1 (+70447)
peak15730	Rras2 (+17258)
peak15731	Gimap6 (+10954)
peak15732	Il17a (+9651)
peak15733	Aplp1 (+5631)
peak15734	Ikbip (+11362)
peak15735	Prl5a1 (+277541)
peak15736	Tbc1d16 (+41365)
peak15737	Ubash3a (+17031)
peak15738	Itgb5 (+7142)
peak15739	Ldhc (+19936)
peak15740	Qrich1 (+4743)
peak15741	Ppm1h (+76347)
peak15742	Tnfrsf4 (-5322)
peak15743	Slc38a10 (+1338)
peak15744	Rai1 (+38179)
peak15745	Atp2b4 (+2998)
peak15746	Arl4d (-6503)
peak15747	Rab10 (+26700)
peak15748	Klrg2 (+1983)
peak15749	Nav2 (+6414)
peak15750	Lactb (-13497)
peak15751	Ikzf5 (+12727)
peak15752	Adam6a (+282726)
peak15753	Tmem45b (-178000)
peak15754	Aatf (+71148)
peak15755	Snx4 (+31836)
peak15756	Cc2d1b (-11059)
peak15757	Socs6 (+9534)
peak15758	Cenpv (+6352)
peak15759	Gnb4 (-16384)
peak15760	Agpat4 (+31884)
peak15761	Slc6a12 (+8568)
peak15762	Akt3 (-63853)
peak15763	Kdm7a (+24738)
peak15764	Synpo2 (+22542)
peak15765	Agbl2 (-1270)
peak15766	Seh1l (-10229)
peak15767	Kat7 (+16790)
peak15768	Arid3b (+30570)
peak15769	Olig3 (-153678)
peak15770	Spdye4c (-126601)
peak15771	Pax3 (-7125)
peak15772	Mmd (-8610)
peak15773	Chmp6 (-95999)
peak15774	Bbc3 (+34367)
peak15775	Npepps (+7621)
peak15776	Pacs1 (+3459)
peak15777	Wbp1l (+1473)
peak15778	Tsc22d3 (+59774)
peak15779	Adsl (-17569)
peak15780	Mvp (+9095)
peak15781	Prkg1 (+135031)
peak15782	Stard9 (-40787)
peak15783	Med13 (-32174)
peak15784	Ppard (+19072)
peak15785	B3gnt7 (-73572)
peak15786	Celsr1 (+11678)
peak15787	Pkdcc (-57023)
peak15788	Rab20 (+34393)
peak15789	Sntb1 (+74767)
peak15790	B4galt5 (+30274)
peak15791	Slc22a20 (-6018)
peak15792	Lactb2 (+21112)
peak15793	Stat4 (+4150)
peak15794	Xxylt1 (+40749)
peak15795	Arhgef3 (-3565)
peak15796	Cfap74 (+430)
peak15797	Ksr1 (+23740)
peak15798	Lrp3 (-37944)
peak15799	Rerg (+44123)
peak15800	Rpl34 (-111560)
peak15801	Foxo1 (+280863)
peak15802	Ndufaf6 (+10435)
peak15803	Depdc7 (+10592)
peak15804	Camk2d (+323271)
peak15805	Tpm4 (+9286)
peak15806	Acta2 (+786)
peak15807	Cd226 (+1342)
peak15808	Tnfsf8 (+1497)
peak15809	Atg16l2 (+13703)
peak15810	Ktn1 (+210212)
peak15811	Cbx8 (-9594)
peak15812	Gatsl3 (+5860)
peak15813	Smad7 (+88435)
peak15814	Supt3 (-164872)
peak15815	Rftn1 (+19537)
peak15816	Fam49b (+19525)
peak15817	Gm5093 (-17690)
peak15818	Sgip1 (-120174)
peak15819	Ptchd3 (-53708)
peak15820	B4galnt3 (+398)
peak15821	Itga9 (-20549)
peak15822	Mypn (+29638)
peak15823	Grhpr (-102842)
peak15824	Dip2c (+21358)
peak15825	Antxr2 (+215350)
peak15826	Lhfp (+13440)
peak15827	Nfkbiz (+172953)
peak15828	Dcbld1 (+39551)
peak15829	Aco1 (+28508)
peak15830	Psmg1 (+103109)
peak15831	Casz1 (+60955)
peak15832	Dennd1a (+222365)
peak15833	D1Ertd622e (+163645)
peak15834	Pds5a (+13986)
peak15835	Spry1 (-107857)
peak15836	Mitf (+69097)
peak15837	Tlr2 (-79856)
peak15838	Nsmce2 (+74669)
peak15839	Adamts6 (+258979)
peak15840	Rora (+315294)
peak15841	Nek7 (+76910)
peak15842	Chn2 (+50963)
peak15843	Otud4 (+35489)
peak15844	Zfpm1 (-136912)
peak15845	Vasn (+8124)
peak15846	Clybl (+2600)
peak15847	Asb8 (+4933)
peak15848	Stac2 (+801)
peak15849	Haao (-72162)
peak15850	Magohb (+3245)
peak15851	Fli1 (+9753)
peak15852	Cxxc5 (+35824)
peak15853	Tnfrsf8 (+4199)
peak15854	Eif4g2 (-74556)
peak15855	Hmces (+1866)
peak15856	Zfp750 (+2254)
peak15857	Raver2 (+75084)
peak15858	Rufy2 (-3933)
peak15859	Lix1 (+3212)
peak15860	Pla2g4a (+69937)
peak15861	Rnft1 (+22172)
peak15862	Primpol (+16016)
peak15863	Ehf (-51989)
peak15864	Chm (+110499)
peak15865	Nwd1 (-3632)
peak15866	Fam46a (-141739)
peak15867	Cox7a2l (-40884)
peak15868	Krt12 (-2439)
peak15869	Oat (+37356)
peak15870	Setmar (+45740)
peak15871	Marveld3 (+24593)
peak15872	Scgn (-103887)
peak15873	Specc1l (+28323)
peak15874	Etv5 (+50371)
peak15875	Trim15 (+8452)
peak15876	Sema3f (-19314)
peak15877	Anxa3 (+63124)
peak15878	Hbs1l (+39689)
peak15879	Ndfip1 (+6817)
peak15880	Ptpn5 (+29592)
peak15881	Fbxw8 (+35185)
peak15882	Syf2 (+25146)
peak15883	Rcor1 (+34850)
peak15884	Ppp4r4 (-18541)
peak15885	Gna13 (-18705)
peak15886	Ptk2 (+42548)
peak15887	Htra1 (+32455)
peak15888	Fam210a (+180212)
peak15889	Hs6st2 (-21129)
peak15890	P2ry1 (-120432)
peak15891	Siah2 (-20961)
peak15892	Npy (-79253)
peak15893	Rpgrip1l (+62064)
peak15894	Zbbx (-14835)
peak15895	Dock11 (+42368)
peak15896	Kcnrg (+256130)
peak15897	Gm10295 (+48669)
peak15898	Casp7 (+15384)
peak15899	Grxcr1 (-88434)
peak15900	Cdkal1 (+192089)
peak15901	Car8 (+483410)
peak15902	Zfp386 (-753796)
peak15903	Bmpr1b (+17135)
peak15904	5830473C10Rik (+3268)
peak15905	Ctnna1 (+43021)
peak15906	Zrsr2 (-10620)
peak15907	Abhd5 (+120097)
peak15908	Ccnl1 (-46413)
peak15909	Ccr5 (+24612)
peak15910	Plppr4 (+733)
peak15911	Iigp1 (-9402)
peak15912	Zxdb (+103560)
peak15913	Cnot2 (-31880)
peak15914	4930426L09Rik (+29036)
peak15915	Msrb2 (-43703)
peak15916	Ahi1 (-156518)
peak15917	Ugt1a6a (-138)
peak15918	Sp110 (+87552)
peak15919	Trib2 (+409026)
peak15920	Tbc1d19 (-24702)
peak15921	Orc3 (+10874)
peak15922	Prdm10 (+4362)
peak15923	Mex3b (+276884)
peak15924	Shh (+69773)
peak15925	Mex3b (-81220)
peak15926	Rasgrf1 (-40167)
peak15927	Notch2 (+36904)
peak15928	Ap1s3 (-40183)
peak15929	Adamtsl3 (+27811)
peak15930	Gcnt1 (+60926)
peak15931	Fancc (+120437)
peak15932	Myc (+741527)
peak15933	Il7r (-24550)
peak15934	Pkd2l2 (+32086)
peak15935	Cdc42ep4 (-36329)
peak15936	Fam78a (+26270)
peak15937	Pank4 (+4023)
peak15938	Ccdc12 (+28096)
peak15939	Mrps23 (-42870)
peak15940	Fam102a (-21249)
peak15941	Cmtm6 (+1038)
peak15942	Asb7 (+87489)
peak15943	Nectin1 (-59181)
peak15944	Kit (-114728)
peak15945	Rbms3 (-108230)
peak15946	Fbln5 (-33424)
peak15947	Sec61a2 (+6445)
peak15948	Itga6 (-87726)
peak15949	Uxs1 (+8562)
peak15950	Kcnj1 (+26877)
peak15951	Ube2h (+51729)
peak15952	Ctbp2 (-171273)
peak15953	Bbs9 (+44078)
peak15954	Neb (+70480)
peak15955	Kif13a (-29639)
peak15956	Calcrl (+39893)
peak15957	Dennd1b (+105506)
peak15958	Mtmr6 (+35447)
peak15959	Serpina3c (-21972)
peak15960	Hectd1 (-59257)
peak15961	Pla2g3 (-10684)
peak15962	Fryl (+69769)
peak15963	Nek6 (+45457)
peak15964	Anxa2 (-13402)
peak15965	Fam78b (-56167)
peak15966	Sh3d21 (-4676)
peak15967	Sgms1 (+32023)
peak15968	Psors1c2 (+1809)
peak15969	Tnfrsf26 (-3755)
peak15970	Cldn7 (-3813)
peak15971	Bcor (-78640)
peak15972	Antxr2 (-4129)
peak15973	Crtc3 (+45371)
peak15974	Pdcd1 (+4312)
peak15975	Anapc4 (+74379)
peak15976	Npepps (+6882)
peak15977	Tbc1d1 (+79975)
peak15978	Rnf223 (+3828)
peak15979	Elmo1 (+280727)
peak15980	Slc45a1 (-69387)
peak15981	Selenon (-56907)
peak15982	Cstad (+52400)
peak15983	Med13l (-65786)
peak15984	Bhlha15 (-24074)
peak15985	Nmnat2 (+57153)
peak15986	Ago2 (+22105)
peak15987	Irf4 (-16376)
peak15988	Eif4b (-2510)
peak15989	Tet3 (+13657)
peak15990	Ifnar1 (-23829)
peak15991	Ppp1r12a (+74894)
peak15992	Stx8 (+64714)
peak15993	Cfap46 (-28253)
peak15994	Vpreb2 (+24240)
peak15995	N6amt1 (+33589)
peak15996	Gm9195 (-72347)
peak15997	Etv4 (-22116)
peak15998	Ncoa5 (+10899)
peak15999	Fh1 (+38630)
peak16000	Slc46a2 (-22229)
peak16001	Rad52 (+39027)
peak16002	Gm9817 (+131678)
peak16003	Atp11b (+52386)
peak16004	Ube2e2 (+14127)
peak16005	Kcnk9 (+233595)
peak16006	Grk5 (+66571)
peak16007	Galnt18 (+296379)
peak16008	Clnk (-374378)
peak16009	Fbxw7 (+102799)
peak16010	Rbms3 (+58545)
peak16011	Ankrd50 (+39121)
peak16012	Ccdc71l (-78936)
peak16013	Babam2 (+173334)
peak16014	Itpr2 (+69256)
peak16015	Dok7 (-2399)
peak16016	Hemk1 (+2720)
peak16017	Lrrc1 (+16098)
peak16018	Arpp19 (-16903)
peak16019	Slco2b1 (+2175)
peak16020	Scaf11 (-5947)
peak16021	Irf4 (-12587)
peak16022	Slc41a3 (+96878)
peak16023	Gabarapl1 (+3410)
peak16024	Pik3r1 (-27726)
peak16025	Tmem121 (+34060)
peak16026	Slc25a1 (-10119)
peak16027	Rars (-4037)
peak16028	Cd44 (-78426)
peak16029	Rft1 (+20272)
peak16030	Ccdc12 (+24395)
peak16031	Fam78b (-30513)
peak16032	4930539E08Rik (-10106)
peak16033	Paqr5 (-35)
peak16034	Nav1 (-12933)
peak16035	Mras (-224)
peak16036	Tbrg4 (-2900)
peak16037	Dhps (+724)
peak16038	Nek7 (+77300)
peak16039	Kcnmb3 (+11199)
peak16040	N4bp2l2 (+19772)
peak16041	Rnf144a (+201957)
peak16042	Tlnrd1 (+29005)
peak16043	Dirc2 (+91608)
peak16044	Ak4 (-34619)
peak16045	Slc1a2 (+221)
peak16046	Serpina3b (-3817)
peak16047	Tprg (-275732)
peak16048	Fbxo48 (-32638)
peak16049	Slc8a1 (-132944)
peak16050	Tprg (-432219)
peak16051	Kcne1l (-9182)
peak16052	Myo1e (+54598)
peak16053	Eepd1 (+1018)
peak16054	Herpud1 (+535)
peak16055	Dip2a (-889)
peak16056	Cdk8 (+17719)
peak16057	Noxa1 (-29381)
peak16058	Usp25 (-319432)
peak16059	Art2b (+29832)
peak16060	Kcna4 (-62520)
peak16061	Mef2c (+205228)
peak16062	Zfp664 (+67121)
peak16063	Fkbp5 (+53592)
peak16064	Hemgn (-22536)
peak16065	Gm20503 (+4030)
peak16066	Adnp2 (+12983)
peak16067	Sgms1 (+32250)
peak16068	Rab14 (+22834)
peak16069	Nxph4 (-21444)
peak16070	Plcb4 (+59381)
peak16071	Tspan32 (+3674)
peak16072	Gm7697 (-29940)
peak16073	Arfgef1 (-21964)
peak16074	Insc (+42799)
peak16075	Plekhh2 (+28869)
peak16076	Hps1 (+9246)
peak16077	Gemin8 (+60388)
peak16078	Tlr2 (-43527)
peak16079	Cpvl (-23556)
peak16080	Upf3a (-9975)
peak16081	Helb (-38951)
peak16082	Gm1045 (+20063)
peak16083	Raph1 (+27204)
peak16084	Tnik (-81483)
peak16085	Ccdc138 (+31919)
peak16086	Gcc1 (+67650)
peak16087	Ibtk (+152509)
peak16088	Cyp11a1 (+303)
peak16089	Acsbg1 (+16090)
peak16090	Taldo1 (+3379)
peak16091	C1galt1 (+3524)
peak16092	Slc4a8 (-7343)
peak16093	Atp1a1 (+4210)
peak16094	Zfp52 (-18185)
peak16095	Bmper (-134951)
peak16096	Sned1 (-203)
peak16097	Adsl (-61660)
peak16098	Pitpnc1 (+29326)
peak16099	P4ha3 (+30097)
peak16100	Liph (-1015)
peak16101	Ndufa13 (-22869)
peak16102	Aebp2 (-45668)
peak16103	Mecom (+50277)
peak16104	Atp6v0e2 (-27037)
peak16105	Man1a (+35882)
peak16106	Rasl11b (+155900)
peak16107	Pin4 (+2097)
peak16108	Dnajc22 (-140)
peak16109	Ptprj (+90198)
peak16110	Oxa1l (+25789)
peak16111	Zfp65 (+5260)
peak16112	Ccnd2 (-11972)
peak16113	Supt16 (+36229)
peak16114	Sgms2 (-3044)
peak16115	Eif3h (+114570)
peak16116	Nr3c1 (-129167)
peak16117	Frmd5 (+124440)
peak16118	Pard3b (-59381)
peak16119	Mefv (+3149)
peak16120	Magi3 (+113586)
peak16121	Atp9b (+64976)
peak16122	Lyzl1 (-99197)
peak16123	Dym (+12506)
peak16124	Ust (+27758)
peak16125	Rasl11a (+32982)
peak16126	Galnt15 (-19047)
peak16127	Xpnpep1 (-20246)
peak16128	Wsb1 (+8761)
peak16129	Bpifa5 (+6239)
peak16130	Fgf7 (-3415)
peak16131	Fam53b (-140)
peak16132	Fam43a (+79333)
peak16133	Mns1 (+3294)
peak16134	Lgals3bp (-2575)
peak16135	Rubcnl (-5460)
peak16136	1700001O22Rik (+82549)
peak16137	Zfp710 (+37038)
peak16138	Otx1 (-159)
peak16139	Sdccag8 (+18215)
peak16140	Tiam1 (+829)
peak16141	Sulf2 (+75021)
peak16142	Dppa2 (+57748)
peak16143	Sfmbt2 (+197117)
peak16144	Mrpl16 (+23537)
peak16145	Ar (+327824)
peak16146	Alpk2 (+66574)
peak16147	Rhob (-2720)
peak16148	B4galnt3 (+51698)
peak16149	Ntn1 (+86832)
peak16150	Tigit (+63332)
peak16151	Fam13b (-6981)
peak16152	Sh3bgrl2 (-10001)
peak16153	Park2 (+488760)
peak16154	Mex3b (-56090)
peak16155	Macf1 (+72942)
peak16156	Pus7 (+9122)
peak16157	Ube2h (+61371)
peak16158	Tec (+33366)
peak16159	Ephb1 (-71737)
peak16160	Medag (-25019)
peak16161	Hal (-7587)
peak16162	Cep83 (+83068)
peak16163	C330007P06Rik (+6282)
peak16164	Cxcl5 (-45077)
peak16165	Stard9 (+11805)
peak16166	Ttc39b (+54421)
peak16167	Elf3 (-7488)
peak16168	Hmgn1 (+929)
peak16169	Sipa1l1 (+78333)
peak16170	Dusp6 (-18029)
peak16171	Amigo2 (-208606)
peak16172	Actr1b (+789)
peak16173	Sema6b (-12)
peak16174	Slco2b1 (+35918)
peak16175	Slc38a7 (+20281)
peak16176	Dyrk3 (+12220)
peak16177	Jcad (-47075)
peak16178	Slc27a1 (+1279)
peak16179	Nt5e (+30365)
peak16180	Cyp26b1 (+5090)
peak16181	Lrrc4 (-67250)
peak16182	Tnfrsf8 (-27215)
peak16183	Mllt3 (+53411)
peak16184	Axin1 (+27550)
peak16185	Klhl6 (+13213)
peak16186	Rabac1 (+8321)
peak16187	Mgme1 (-83045)
peak16188	Ppp2r5e (+73933)
peak16189	Get4 (-20764)
peak16190	Slc28a3 (+32874)
peak16191	Epg5 (+40636)
peak16192	Itsn2 (+6823)
peak16193	Ehd4 (+21292)
peak16194	Myoz2 (-92889)
peak16195	Ncoa7 (+41947)
peak16196	Npm2 (-36617)
peak16197	Uri1 (+37134)
peak16198	Klhl2 (+7893)
peak16199	Pla2g4a (-59297)
peak16200	Hivep3 (+29060)
peak16201	Sgk1 (-80550)
peak16202	Itga6 (-89967)
peak16203	Plek (+7496)
peak16204	Fbxo21 (-54388)
peak16205	Gphb5 (-36407)
peak16206	Prpf40a (+146679)
peak16207	Ric8b (+38426)
peak16208	Gpbp1 (-44182)
peak16209	Rnf24 (+13235)
peak16210	Adsl (-92748)
peak16211	Cnga3 (+68437)
peak16212	Ninj2 (+8801)
peak16213	Gna14 (-150742)
peak16214	Rbms1 (-179265)
peak16215	Itgb4 (-19769)
peak16216	Add3 (+76653)
peak16217	Gdpd5 (+33615)
peak16218	Tbx4 (+43088)
peak16219	Gm20425 (+79)
peak16220	Prc1 (+4469)
peak16221	Rpusd2 (-2432)
peak16222	AI314180 (-2891)
peak16223	Arid1b (+170356)
peak16224	Rab40b (-271)
peak16225	Fam186b (+2067)
peak16226	Ets2 (+114095)
peak16227	Rps6ka5 (+13532)
peak16228	Cmip (+10470)
peak16229	Hs6st1 (+58979)
peak16230	Foxp1 (+296490)
peak16231	Mettl8 (+48549)
peak16232	Ube2e2 (-84666)
peak16233	Olfr32 (+818)
peak16234	Kit (-90496)
peak16235	Adh7 (-6775)
peak16236	Kcnk13 (+15306)
peak16237	Cd180 (-95064)
peak16238	Rassf6 (+18485)
peak16239	Alpk2 (+101915)
peak16240	Rnf212 (+32951)
peak16241	Ric8b (+9455)
peak16242	Max (-117504)
peak16243	Kcnk10 (+106786)
peak16244	Cacng5 (-71011)
peak16245	Mrps27 (+66157)
peak16246	Ptbp3 (-11073)
peak16247	Dpp4 (+128506)
peak16248	Hlf (+26907)
peak16249	Cxcl13 (+8157)
peak16250	Galnt12 (-16812)
peak16251	Prkcq (-388829)
peak16252	Ppargc1b (+56598)
peak16253	Nr1i2 (+73873)
peak16254	Cebpd (+435)
peak16255	Hsp90aa1 (-6972)
peak16256	Atp8b4 (-15445)
peak16257	Emp2 (+28606)
peak16258	Gpr3 (+28907)
peak16259	Slc35e3 (+16679)
peak16260	Nedd4l (+70027)
peak16261	Atg10 (+20881)
peak16262	Tmem170b (+32084)
peak16263	Chsy1 (+35196)
peak16264	Tmem104 (+11893)
peak16265	Adam19 (+29078)
peak16266	Fam43a (+73509)
peak16267	Bbs9 (+357111)
peak16268	Tgfbr1 (+49167)
peak16269	Lect2 (+8797)
peak16270	Tigit (+63573)
peak16271	NONE
peak16272	4930523C07Rik (-237285)
peak16273	Hamp2 (+3826)
peak16274	Gm4070 (-100964)
peak16275	Ap5m1 (-75543)
peak16276	Foxp1 (+222702)
peak16277	Lyzl1 (-691)
peak16278	Arl14epl (-4220)
peak16279	Cep192 (-9240)
peak16280	Ndufa12 (-24129)
peak16281	Ica1 (+6739)
peak16282	Zcchc7 (+93111)
peak16283	Rapgef5 (-354118)
peak16284	Eif2s1 (+6566)
peak16285	Zc3h15 (+32240)
peak16286	Try4 (-35305)
peak16287	Tmem158 (+16545)
peak16288	Slc37a3 (+65674)
peak16289	F13a1 (-590)
peak16290	Syt7 (-32167)
peak16291	Smc6 (+76408)
peak16292	Zfp871 (+49619)
peak16293	Med1 (+10973)
peak16294	Ccdc22 (+12072)
peak16295	Itgae (-154)
peak16296	Ttc7b (+100614)
peak16297	Adgrl2 (-34038)
peak16298	Itpr1 (+127665)
peak16299	Mkl1 (+11081)
peak16300	Dok3 (+1242)
peak16301	Fdft1 (+14650)
peak16302	Alpk2 (+66782)
peak16303	Spryd7 (+37622)
peak16304	Gcnt1 (+13982)
peak16305	Scn3b (+73159)
peak16306	Golga4 (+6638)
peak16307	Rpap3 (+38061)
peak16308	Tollip (+1735)
peak16309	Tpst2 (+18634)
peak16310	Myh9 (+9376)
peak16311	Mapkapk3 (+25716)
peak16312	Kdm5c (+1081)
peak16313	Serpinb1b (-6853)
peak16314	Cspg4 (+8372)
peak16315	Cdc25c (-595)
peak16316	Rab40b (-2752)
peak16317	Rassf2 (-33949)
peak16318	Ago2 (-48238)
peak16319	Med18 (+16268)
peak16320	Sirt1 (+54462)
peak16321	Arhgap10 (+307548)
peak16322	Mfhas1 (+68592)
peak16323	Sp110 (+88014)
peak16324	Foxo1 (+311094)
peak16325	D2hgdh (+10841)
peak16326	1700025G04Rik (+47490)
peak16327	Dusp6 (+207397)
peak16328	Zmynd11 (+128313)
peak16329	Ltbp1 (-50319)
peak16330	Chchd3 (+124514)
peak16331	Anapc1 (+28825)
peak16332	Zfp609 (+39858)
peak16333	Tprg (-333579)
peak16334	Kat6a (+20674)
peak16335	Tnfaip3 (-161188)
peak16336	Raph1 (-46709)
peak16337	Ppp1r3b (-89234)
peak16338	Mxi1 (-1)
peak16339	Gfpt1 (-4380)
peak16340	Rcn1 (+12682)
peak16341	Coro2a (-21372)
peak16342	Cmss1 (+118035)
peak16343	Soat1 (+3888)
peak16344	Uvrag (+55744)
peak16345	Hk1 (+55913)
peak16346	Ankrd50 (+300513)
peak16347	Ppfibp1 (+20487)
peak16348	Pax2 (-82108)
peak16349	Maf (-137937)
peak16350	Fcho2 (-45114)
peak16351	Kitl (+12321)
peak16352	Cspg4 (+5937)
peak16353	Apoa1 (-59654)
peak16354	Ap5z1 (+13580)
peak16355	Odc1 (-33581)
peak16356	Prickle1 (-195875)
peak16357	Tmem45b (+31972)
peak16358	Sgip1 (+27371)
peak16359	Scamp1 (-21055)
peak16360	Lyzl1 (-99532)
peak16361	Zmynd11 (+127798)
peak16362	Vash1 (-41035)
peak16363	Taf7 (-5578)
peak16364	Relt (+47986)
peak16365	3110018I06Rik (-307960)
peak16366	Rflna (-13705)
peak16367	Hs3st1 (+413712)
peak16368	Alpk2 (+109983)
peak16369	Jaml (+13904)
peak16370	Top3a (+15413)
peak16371	A830010M20Rik (-26946)
peak16372	Gmpr (+150924)
peak16373	1700029I15Rik (-2906)
peak16374	Tspan14 (-15520)
peak16375	Smad7 (+127329)
peak16376	Cpsf6 (-573)
peak16377	Mical3 (+17536)
peak16378	1700017B05Rik (-81300)
peak16379	Gsta3 (+47832)
peak16380	Dock8 (+51463)
peak16381	Gsg1l (-16780)
peak16382	Tmsb4x (+2908)
peak16383	Rbl1 (+17022)
peak16384	Ice2 (-223577)
peak16385	C330021F23Rik (-3064)
peak16386	Lima1 (+28113)
peak16387	Pik3cg (-19100)
peak16388	Gab2 (-14796)
peak16389	Rbm5 (-8734)
peak16390	B3gntl1 (+5365)
peak16391	Vti1a (+11460)
peak16392	Creb5 (+63221)
peak16393	Efna5 (-263965)
peak16394	Dct (+534430)
peak16395	Zeb1 (+88888)
peak16396	Pip4k2a (+22551)
peak16397	Dgkh (+40695)
peak16398	Man2a1 (+79875)
peak16399	Ltk (+1593)
peak16400	Gm9844 (-37170)
peak16401	Cacna1i (+32233)
peak16402	Gal (+15)
peak16403	Pitpnm2 (-48537)
peak16404	Gm9887 (-102087)
peak16405	Osbpl8 (-35841)
peak16406	Rdx (+55540)
peak16407	Mgl2 (+7686)
peak16408	Gm3443 (+31115)
peak16409	Rasgrf1 (-37517)
peak16410	Snhg11 (-14530)
peak16411	Dmrtb1 (+31420)
peak16412	Cxcl5 (-13763)
peak16413	Atp6v0a2 (+8456)
peak16414	Lpin2 (-9440)
peak16415	Lpin2 (-9758)
peak16416	H2-T24 (+19256)
peak16417	Dcaf7 (+690)
peak16418	Fli1 (+40033)
peak16419	Swi5 (+452)
peak16420	Plxna4 (-203919)
peak16421	Slc25a5 (-13257)
peak16422	Rab6b (+35163)
peak16423	Dnajc13 (+11060)
peak16424	Ifitm7 (-5951)
peak16425	Zmym2 (+15550)
peak16426	Dync1li2 (+15408)
peak16427	Basp1 (+44075)
peak16428	Ildr1 (+6724)
peak16429	Ell2 (+54348)
peak16430	Spire1 (+19886)
peak16431	Atp9b (+67118)
peak16432	Pax8 (-65951)
peak16433	Cep78 (-63634)
peak16434	Trpa1 (+60283)
peak16435	Churc1 (+9260)
peak16436	Selenot (-24055)
peak16437	2010300C02Rik (+88455)
peak16438	Trim33 (+99054)
peak16439	Lctl (-11746)
peak16440	Sox4 (+313)
peak16441	Xpo6 (+14499)
peak16442	Cd69 (-13451)
peak16443	Cmss1 (+121475)
peak16444	Leprotl1 (+6020)
peak16445	Tox (+121169)
peak16446	Fem1c (+41848)
peak16447	Brox (+18413)
peak16448	Cpa5 (-18767)
peak16449	Jmjd1c (+73866)
peak16450	Nrarp (-7871)
peak16451	Hectd3 (+10483)
peak16452	Lekr1 (-20447)
peak16453	Sin3b (+3273)
peak16454	Trib1 (+77725)
peak16455	Shc1 (-48)
peak16456	Nfkb2 (+9429)
peak16457	Tbccd1 (+12893)
peak16458	Akap6 (+23778)
peak16459	Spry1 (+40929)
peak16460	Nup153 (-47403)
peak16461	Edem2 (-7630)
peak16462	Prrc1 (+53228)
peak16463	Gab1 (+614)
peak16464	Cux1 (+145713)
peak16465	Itga3 (-16512)
peak16466	Pdss1 (-37625)
peak16467	Cd180 (-110944)
peak16468	Fbxo48 (-81084)
peak16469	1700113H08Rik (-5914)
peak16470	Sgce (+18611)
peak16471	Plekha5 (+75395)
peak16472	Dip2c (+13176)
peak16473	Adamtsl3 (+19747)
peak16474	Tcf4 (+241729)
peak16475	Smn1 (+986)
peak16476	Lrrc4 (-607)
peak16477	Auh (+100544)
peak16478	Ndufa3 (+447)
peak16479	Sgca (+4163)
peak16480	Pdlim1 (+17657)
peak16481	Aebp2 (-80306)
peak16482	Ap2a2 (+2501)
peak16483	Ampd2 (-1305)
peak16484	Spata7 (+46514)
peak16485	P2rx1 (-6481)
peak16486	Dock8 (+3415)
peak16487	Sorbs3 (+1321)
peak16488	Trps1 (+487640)
peak16489	Cdc42 (+21150)
peak16490	Rnf126 (+3883)
peak16491	Cyth1 (-3492)
peak16492	Eloa (-9401)
peak16493	Milr1 (-90)
peak16494	Ankdd1a (-16091)
peak16495	Lyrm4 (-170876)
peak16496	Lancl1 (-10039)
peak16497	Ntn4 (+47525)
peak16498	Nuf2 (-24385)
peak16499	Desi2 (+29871)
peak16500	Gad2 (+8)
peak16501	Rad21 (+11107)
peak16502	Rapgef6 (-30589)
peak16503	Bcl11a (+53836)
peak16504	Prkci (+27256)
peak16505	Vcl (-12202)
peak16506	Il34 (-19207)
peak16507	Chic2 (+118826)
peak16508	P2rx4 (-17713)
peak16509	Rad52 (-6200)
peak16510	Prrx2 (-2249)
peak16511	Trib2 (+100387)
peak16512	Asprv1 (+11156)
peak16513	Bik (+8932)
peak16514	Snx11 (+1513)
peak16515	Id2 (-90266)
peak16516	Park7 (-6020)
peak16517	Nfkbia (+25570)
peak16518	Mapkapk2 (-11013)
peak16519	Slain1 (-28765)
peak16520	Trib1 (-123101)
peak16521	Dhx9 (+2280)
peak16522	Sec14l1 (-24960)
peak16523	Wdyhv1 (+3374)
